ablation,sample_size,replicate,seed,full_tv_error,ablated_tv_error,full_better,invalid_category,full_invalid_mass,ablated_invalid_mass,full_invalid_top1,ablated_invalid_top1
A4_remove_hierarchical_pooling,1,108,11837,0.026127946127946194,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,109,11838,0.1501683501683502,0.33282828282828286,True,,,,,
A4_remove_hierarchical_pooling,1,109,11838,0.1501683501683502,0.83,True,,,,,
A2_remove_industry_prior,1,110,11839,0.08986531986531984,0.14424242424242428,True,,,,,
A4_remove_hierarchical_pooling,1,110,11839,0.08986531986531984,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,111,11840,0.030942760942760918,0.22171717171717173,True,,,,,
A4_remove_hierarchical_pooling,1,111,11840,0.030942760942760918,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,112,11841,0.041919191919191856,0.214949494949495,True,,,,,
A4_remove_hierarchical_pooling,1,112,11841,0.041919191919191856,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,113,11842,0.1492929292929293,0.30252525252525253,True,,,,,
A4_remove_hierarchical_pooling,1,113,11842,0.1492929292929293,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,114,11843,0.1552188552188552,0.27555555555555555,True,,,,,
A4_remove_hierarchical_pooling,1,114,11843,0.1552188552188552,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,115,11844,0.054040404040404055,0.1611111111111111,True,,,,,
A4_remove_hierarchical_pooling,1,115,11844,0.054040404040404055,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,116,11845,0.0482828282828283,0.14424242424242426,True,,,,,
A4_remove_hierarchical_pooling,1,116,11845,0.0482828282828283,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,117,11846,0.04962962962962957,0.16111111111111112,True,,,,,
A4_remove_hierarchical_pooling,1,117,11846,0.04962962962962957,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,118,11847,0.2124579124579125,0.342929292929293,True,,,,,
A4_remove_hierarchical_pooling,1,118,11847,0.2124579124579125,0.9,True,,,,,
A2_remove_industry_prior,1,119,11848,0.054848484848484855,0.25202020202020203,True,,,,,
A4_remove_hierarchical_pooling,1,119,11848,0.054848484848484855,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,120,11849,0.11481481481481481,0.3025252525252526,True,,,,,
A4_remove_hierarchical_pooling,1,120,11849,0.11481481481481481,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,121,11850,0.03471380471380471,0.24525252525252528,True,,,,,
A4_remove_hierarchical_pooling,1,121,11850,0.03471380471380471,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,122,11851,0.10791245791245788,0.26212121212121214,True,,,,,
A4_remove_hierarchical_pooling,1,122,11851,0.10791245791245788,0.83,True,,,,,
A2_remove_industry_prior,1,123,11852,0.06787878787878783,0.24191919191919195,True,,,,,
A4_remove_hierarchical_pooling,1,123,11852,0.06787878787878783,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,124,11853,0.1887205387205387,0.23181818181818184,True,,,,,
A4_remove_hierarchical_pooling,1,124,11853,0.1887205387205387,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,125,11854,0.03303030303030302,0.19141414141414143,True,,,,,
A4_remove_hierarchical_pooling,1,125,11854,0.03303030303030302,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,126,11855,0.17037037037037034,0.2722222222222222,True,,,,,
A4_remove_hierarchical_pooling,1,126,11855,0.17037037037037034,0.83,True,,,,,
A2_remove_industry_prior,1,127,11856,0.09683501683501683,0.27222222222222225,True,,,,,
A4_remove_hierarchical_pooling,1,127,11856,0.09683501683501683,0.83,True,,,,,
A2_remove_industry_prior,1,128,11857,0.20740740740740748,0.2217171717171717,True,,,,,
A4_remove_hierarchical_pooling,1,128,11857,0.20740740740740748,0.83,True,,,,,
A2_remove_industry_prior,1,129,11858,0.14680134680134685,0.3126262626262627,True,,,,,
A4_remove_hierarchical_pooling,1,129,11858,0.14680134680134685,0.83,True,,,,,
A2_remove_industry_prior,1,130,11859,0.05323232323232325,0.19141414141414143,True,,,,,
A4_remove_hierarchical_pooling,1,130,11859,0.05323232323232325,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,131,11860,0.17542087542087548,0.3025252525252526,True,,,,,
A4_remove_hierarchical_pooling,1,131,11860,0.17542087542087548,0.83,True,,,,,
A2_remove_industry_prior,1,132,11861,0.05989898989898995,0.21161616161616167,True,,,,,
A4_remove_hierarchical_pooling,1,132,11861,0.05989898989898995,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,133,11862,0.15353535353535358,0.26212121212121214,True,,,,,
A4_remove_hierarchical_pooling,1,133,11862,0.15353535353535358,0.9,True,,,,,
A2_remove_industry_prior,1,134,11863,0.2021885521885522,0.3025252525252526,True,,,,,
A4_remove_hierarchical_pooling,1,134,11863,0.2021885521885522,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,135,11864,0.18616161616161625,0.2896969696969698,True,,,,,
A4_remove_hierarchical_pooling,1,135,11864,0.18616161616161625,0.8200000000000001,True,,,,,
A2_remove_industry_prior,1,136,11865,0.08939393939393943,0.22171717171717173,True,,,,,
A4_remove_hierarchical_pooling,1,136,11865,0.08939393939393943,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,137,11866,0.02781144781144789,0.20151515151515154,True,,,,,
A4_remove_hierarchical_pooling,1,137,11866,0.02781144781144789,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,138,11867,0.048989898989899,0.25202020202020203,True,,,,,
A4_remove_hierarchical_pooling,1,138,11867,0.048989898989899,0.83,True,,,,,
A2_remove_industry_prior,1,139,11868,0.10164983164983166,0.2048484848484849,True,,,,,
A4_remove_hierarchical_pooling,1,139,11868,0.10164983164983166,0.44999999999999996,True,,,,,
A2_remove_industry_prior,1,140,11869,0.20387205387205384,0.2722222222222222,True,,,,,
A4_remove_hierarchical_pooling,1,140,11869,0.20387205387205384,0.83,True,,,,,
A2_remove_industry_prior,1,141,11870,0.27811447811447815,0.2823232323232323,True,,,,,
